player_id,role,batting_style,bowling_style,image
0a4735b4,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/richard-jones.jpg
0a4736eb,Batsman,Right Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c244935/asif-ali.jpg
0a476045,Batsman,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c170660/shikhar-dhawan.jpg
0a4ee2d6,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c157317/alan-dawson.jpg
0a509d6b,Batsman,Left Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c279125/rinku-singh.jpg
0a7c6649,,,,
0a7f49f5,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/alec-hurwood.jpg
0a8ebf05,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/richard-veillard.jpg
0a8fce53,Bowler,Left Handed Bat,Left-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c351909/mustafizur-rahman.jpg
0a94b1c1,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/lionel-palairet.jpg
0a9cd763,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/alan-knott.jpg
0a9d8b61,Batting Allrounder,Left Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c537817/jonathan-carter.jpg
0aa05f43,--,Left Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/jane-newland.jpg
0aadc906,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c577783/prithvi-shaw.jpg
0abeb4eb,Batsman,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/ken-hough.jpg
0acc34fe,Batsman,Right Handed Bat,Right-arm legbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/shantha-kalavitigoda.jpg
0ae4cd4a,Batsman,Right Handed Bat,Right-arm offbreak,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/zaheer-ibrahim.jpg
0af3426f,Bowling Allrounder,Right Handed Bat,Right-arm fast-medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/shrikant-mundhe.jpg
0af4a90b,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/justin-avendano.jpg
0af655cd,Batsman,Left Handed Bat,Right-arm medium,https://static.cricbuzz.com/a/img/v1/152x152/i1/c155876/arjuna-ranatunga.jpg
0afec578,Batsman,Right Handed Bat,,https://static.cricbuzz.com/a/img/v1/152x152/i1/c182026/nummy-deane.jpg
